品牌,车型,版本,指导价(万元),级别,能源类型,发动机,最大功率(kW),最大扭矩(N·m),变速箱,长*宽*高(mm),轴距(mm),主要配置,适用场景,亮点标签
奥迪,A6L,45 TFSI 臻选动感型,45.49,中大型车,汽油,2.0T 245马力 L4,180,370,7挡湿式双离合,5050*1886*1475,3024,"主动刹车、疲劳提醒、可变转向比",商务接待,"科技、品牌、豪华"
宝马,5系,530Li 领先型 M运动套装,48.59,中大型车,汽油+48V轻混,2.0T 258马力 L4,190,400,8AT,5175*1900*1520,3105,"L2驾驶辅助、双联曲面屏、iDrive 8.5",商务接待,"操控、运动、豪华"
大众,途观L,出众款 330TSI 两驱R-Line,21.70,中型SUV,汽油,2.0T 186马力 L4,137,320,7挡湿式双离合,4735*1859*1677,2791,"12英寸中控屏、全速自适应巡航、运动套件",家庭出行,"德系品质、空间实用"
福特,锐际,2025款 两驱悠享款,16.98,紧凑型SUV,汽油,2.0T 248马力 L4,182,393,8AT,4585*1882*1688,2710,"全铝底盘、12.3英寸中控屏、定速巡航",年轻家庭,"性能钢炮、全铝底盘"
丰田,凯美瑞,智能电混双擎 2.5HG 尊贵智行版,21.98,中型车,非插电混动,2.5L 185马力 L4,136,221,E-CVT,4915*1840*1450,2825,"T-Pilot智驾(L2)、12.3英寸中控屏、8155芯片",日常通勤,"省油、可靠、保值"
本田,雅阁,2025款 锐·T动 旗舰版,23.88,中型车,汽油,1.5T 192马力 L4,141,260,CVT,4980*1862*1449,2830,"Honda SENSING 360+、12.3英寸中控屏、BOSE音响",日常通勤,"智驾标杆、空间大"
比亚迪,汉,EV 智驾版 635KM 激光雷达旗舰型,19.58,中大型车,纯电动,电动机(231马力),170,360,单速变速箱,4995*1910*1495,2920,"DiPilot 300智驾(L2)、15.6英寸中控屏、激光雷达",纯电出行,"智能、激光雷达智驾、高性价比"
特斯拉,Model 3,2025款 改款 后轮驱动版,23.55,中型车,纯电动,电动机(264马力),194,340,单速变速箱,4720*1848*1442,2875,"15.4英寸中控屏、前排加热/通风、后排8英寸屏、256色氛围灯",纯电出行,"智能驾驶、品牌效应"
大众,途昂,2025款 380TSI 四驱出众版,29.90,中大型SUV,汽油,2.0T 220马力 L4,162,350,7挡湿式双离合,5052*1989*1773,2980,"L2驾驶辅助、360°全景影像、7座布局、MOS智慧车联",大家庭出行,"大7座、德系品质"
大众,CC,2025款 330TSI 炫目 众享款,22.49,中型车,汽油,2.0T 186马力 L4,137,320,7挡湿式双离合,4865*1870*1459,2841,"无框车门、掀背尾门、10.3英寸全液晶仪表",年轻个性,"轿跑造型、无框车门"